m_disk,sb_law,scale_factor,lnprob

-7.397734009343800210e+00,4.182911043160317810e+00,1.394162703556981464e-01,-3.138396972656250000e+05
-9.329577219505051033e+00,5.963222952149337175e+00,9.933992442421143987e-02,-3.176477773437500000e+05
-7.822182635292440622e+00,5.327990575717225674e+00,1.484915767797834532e-02,-3.138142148437500000e+05
-8.570471738074196821e+00,-3.007967690654544057e+00,1.040778203893487075e-01,-3.167192402343750000e+05
-9.203308823775321557e+00,2.579872734516224231e+00,1.378329049454106725e-01,-3.176108847656250000e+05
-8.367904006749753876e+00,8.425767718477072066e+00,4.753754776699742335e-02,-3.166003437500000000e+05
-4.786578693770866977e+00,-6.591441671899992194e+00,-7.335471816732816452e-03,-inf
5.592649682169845704e-01,1.070311009975599248e+00,9.169647899219791898e-02,-1.223514100000000000e+09
-7.397734009343800210e+00,4.182911043160317810e+00,1.394162703556981464e-01,-3.138396972656250000e+05
-9.329577219505051033e+00,5.963222952149337175e+00,9.933992442421143987e-02,-3.176477773437500000e+05
-7.822182635292440622e+00,5.327990575717225674e+00,1.484915767797834532e-02,-3.138142148437500000e+05
-8.570471738074196821e+00,-3.007967690654544057e+00,1.040778203893487075e-01,-3.167192402343750000e+05
-9.081922276627903301e+00,2.821403550946573358e+00,1.270239198139051784e-01,-3.175565332031250000e+05
-8.236453603628525855e+00,8.762371148773743457e+00,4.045671905729599643e-02,-3.162074765625000000e+05
-6.489852264491402956e+00,-1.884412091707146963e+00,3.265956274779578672e-02,-2.086269921875000000e+06
5.592649682169845704e-01,1.070311009975599248e+00,9.169647899219791898e-02,-1.223514100000000000e+09
-7.397734009343800210e+00,4.182911043160317810e+00,1.394162703556981464e-01,-3.138396972656250000e+05
-8.915005490564588797e+00,7.024811678786305080e+00,7.700822112920562013e-02,-3.174431660156250000e+05
-7.822182635292440622e+00,5.327990575717225674e+00,1.484915767797834532e-02,-3.138142148437500000e+05
-8.548133026136126134e+00,-2.220782260786114293e+00,9.982292130071657166e-02,-3.167062128906250000e+05
-9.081922276627903301e+00,2.821403550946573358e+00,1.270239198139051784e-01,-3.175565332031250000e+05
